PV;Wind Coast;Wind Offshore
0.088;0.05665;0.046506
0.172;0.057002;0.044241
0.251;0.065987;0.040456
0.289;0.053359;0.026389
0.287;0.037994;0.015636
0.259;0.026798;0.010462
0.167;0.021181;0.009974
0.026;0.024923;0.015558
0;0.032289;0.019882
0;0.034971;0.021576
0;0.034294;0.028383
0;0.032998;0.02879
0;0.02902;0.021553
0;0.02295;0.015163
0;0.015301;0.008989
0;0.010106;0.003311
0;0.006018;0.00178
0;0.00368;0.001732
0;0.002842;0.001722
0;0.002799;0.001733
0;0.003419;0.001754
0;0.004991;0.003612
0;0.00636;0.022658
0.007;0.009334;0.068129
0.072;0.01632;0.129841
0.133;0.030387;0.283458
0.136;0.060383;0.41486
0.135;0.081245;0.444526
0.166;0.105904;0.518184
0.107;0.131037;0.593823
0.042;0.151504;0.670435
0.003;0.177698;0.756267
0;0.216826;0.803979
0;0.261656;0.820587
0;0.285267;0.741574
0;0.299324;0.612303
0;0.329424;0.593184
0;0.321466;0.698024
0;0.263461;0.743635
0;0.260278;0.724584
0;0.330737;0.694696
0;0.390508;0.653472
0;0.359636;0.560038
0;0.332365;0.412206
0;0.285779;0.324106
0;0.229041;0.33225
0;0.190875;0.335061
0;0.173082;0.338709
0.007;0.160573;0.369484
0.018;0.15197;0.38865
0.034;0.151493;0.391546
0.069;0.154754;0.428674
0.098;0.160345;0.542578
0.095;0.183619;0.624838
0.05;0.243893;0.717719
0.004;0.287317;0.77458
0;0.336864;0.787577
0;0.400839;0.804299
0;0.422937;0.816192
0;0.415119;0.787678
0;0.398956;0.805845
0;0.35097;0.82625
0;0.414553;0.884271
0;0.473199;0.892982
0;0.487857;0.878069
0;0.491959;0.883063
0;0.461338;0.89537
0;0.436637;0.884017
0;0.425057;0.823049
0;0.408243;0.787222
0;0.414246;0.766124
0.012;0.393617;0.718179
0.087;0.374943;0.675912
0.148;0.363322;0.650775
0.111;0.349792;0.59327
0.074;0.349123;0.492365
0.052;0.341304;0.416465
0.03;0.336982;0.385549
0.011;0.316002;0.402468
0;0.289399;0.435069
0;0.25876;0.441009
0;0.24634;0.438108
0;0.249857;0.443148
0;0.261808;0.454436
0;0.263619;0.459623
0;0.253954;0.45441
0;0.233695;0.436946
0;0.2108;0.410564
0;0.185072;0.330784
0;0.176109;0.239389
0;0.202033;0.149646
0;0.175479;0.061513
0;0.166575;0.017139
0;0.150039;0.034794
0;0.097369;0.16895
0;0.045968;0.498965
0.01;0.013433;0.757475
0.017;0.004971;0.861287
0.03;0.017795;0.905992
0.033;0.05512;0.907856
0.03;0.133121;0.904508
0.025;0.249846;0.901096
0.017;0.364956;0.885838
0.002;0.424126;0.875901
0;0.404048;0.86232
0;0.376526;0.832105
0;0.334302;0.791516
0;0.302289;0.745598
0;0.296797;0.710021
0;0.285269;0.675915
0;0.261838;0.637922
0;0.249718;0.610868
0;0.246122;0.592548
0;0.244643;0.55518
0;0.259402;0.520809
0;0.259825;0.483504
0;0.25366;0.443817
0;0.250969;0.441481
0;0.257023;0.464592
0.007;0.257851;0.500141
0.064;0.228998;0.552098
0.166;0.193576;0.60209
0.314;0.188483;0.645192
0.414;0.204602;0.679684
0.436;0.220445;0.694983
0.317;0.195679;0.685593
0.144;0.199167;0.660438
0.024;0.250943;0.6415
0;0.299962;0.628787
0;0.316012;0.624829
0;0.289749;0.613085
0;0.231745;0.595397
0;0.189209;0.580247
0;0.165063;0.572858
0;0.158218;0.585794
0;0.151067;0.586496
0;0.142168;0.57267
0;0.145011;0.562302
0;0.156727;0.561988
0;0.165094;0.565111
0;0.175675;0.567732
0;0.191834;0.575152
0;0.208121;0.586057
