PV;Wind Binnenland;Wind Coast;Wind Offshore
0.003;0.108976;0.385482;0.8206
0.012;0.106323;0.378587;0.834661
0.02;0.119051;0.429758;0.861998
0.014;0.158281;0.52554;0.892104
0.003;0.201982;0.567969;0.907156
0.001;0.255292;0.566958;0.901428
0;0.282354;0.564561;0.900201
0;0.284178;0.564564;0.899059
0;0.302396;0.546748;0.898433
0;0.329155;0.529102;0.891384
0;0.321341;0.520258;0.877958
0;0.309555;0.517145;0.863974
0;0.31171;0.509827;0.839111
0;0.322048;0.481407;0.795802
0;0.315501;0.449515;0.748951
0;0.304311;0.446176;0.733294
0;0.278475;0.432892;0.757063
0;0.290205;0.428757;0.799859
0;0.281365;0.419415;0.821211
0;0.263853;0.456596;0.822923
0;0.27337;0.481412;0.810579
0;0.29679;0.455655;0.809588
0;0.317102;0.438978;0.866372
0.02;0.274518;0.502473;0.917465
0.066;0.328483;0.538395;0.935195
0.081;0.381224;0.48927;0.934975
0.063;0.484101;0.549065;0.914473
0.031;0.538702;0.598499;0.897574
0.005;0.546787;0.595527;0.891203
0;0.537591;0.573675;0.897178
0;0.487346;0.567946;0.922705
0;0.446181;0.55778;0.941352
0;0.446195;0.603016;0.945544
0;0.45204;0.658002;0.943649
0;0.458533;0.670182;0.93636
0;0.436454;0.640935;0.925345
0;0.443832;0.627325;0.902833
0;0.431995;0.592647;0.867854
0;0.361024;0.537273;0.833788
0;0.33685;0.53943;0.783243
0;0.309549;0.509432;0.760937
0;0.306707;0.468156;0.774518
0;0.287312;0.443813;0.799499
0;0.285241;0.393606;0.820561
0;0.317214;0.383862;0.884052
0;0.407772;0.421612;0.933817
0;0.477346;0.512881;0.946911
0;0.527011;0.591417;0.950209
0.005;0.597212;0.6282;0.960449
0.011;0.65646;0.657993;0.962979
0.013;0.683211;0.655764;0.96486
0.007;0.682761;0.639552;0.973999
0.002;0.684688;0.710447;0.975905
0;0.695227;0.780543;0.958717
0;0.69666;0.832796;0.950495
0;0.682736;0.865819;0.949166
0;0.689506;0.869129;0.948726
0;0.691648;0.87565;0.95246
0;0.686962;0.883806;0.966121
0;0.66578;0.890419;0.975745
0;0.624825;0.885188;0.976803
0;0.600544;0.866663;0.976552
0;0.564563;0.845128;0.974033
0;0.552097;0.814475;0.969758
0;0.507143;0.789661;0.966503
0;0.475553;0.773973;0.965291
0;0.400579;0.778958;0.968224
0;0.390221;0.78622;0.972522
0;0.360222;0.780404;0.976025
0;0.276934;0.776292;0.976807
0;0.248799;0.774192;0.976277
0.007;0.230803;0.74624;0.976577
0.035;0.219972;0.715063;0.976629
0.109;0.259809;0.722791;0.975192
0.162;0.307843;0.736822;0.972531
0.22;0.343704;0.729016;0.97067
0.186;0.364921;0.722806;0.970261
0.064;0.336869;0.698062;0.967739
0.004;0.345142;0.675917;0.960892
0;0.303511;0.640943;0.950919
0;0.270905;0.624842;0.935295
0;0.257278;0.615202;0.90973
0;0.251918;0.599917;0.868984
0;0.229616;0.584511;0.806526
0;0.214372;0.560038;0.793713
0;0.183432;0.533196;0.848753
0;0.154685;0.471462;0.896908
0;0.135201;0.483759;0.928475
0;0.132491;0.607692;0.93936
0;0.14337;0.653923;0.931594
0;0.160627;0.624998;0.916971
0;0.183412;0.596772;0.901054
0;0.19921;0.581917;0.878478
0;0.264635;0.593229;0.870087
0;0.270579;0.495316;0.886456
0.025;0.28;0.488681;0.919527
0.057;0.29254;0.546604;0.925344
0.144;0.331697;0.595717;0.936584
0.229;0.371793;0.63135;0.943991
0.196;0.43083;0.666411;0.943641
0.131;0.450565;0.690674;0.948673
0.044;0.449197;0.738567;0.944752
0.002;0.452038;0.719303;0.947557
0;0.438313;0.666281;0.950914
0;0.421398;0.612635;0.946802
0;0.392445;0.602214;0.933359
0;0.371766;0.590962;0.943416
0;0.391521;0.645008;0.930806
0;0.380571;0.655713;0.916422
0;0.379036;0.624851;0.900264
0;0.39825;0.595775;0.895628
0;0.414558;0.567075;0.887892
0;0.383244;0.552101;0.879635
0;0.348657;0.541335;0.879763
0;0.315159;0.549819;0.882769
0;0.296954;0.537993;0.883013
0;0.285862;0.536868;0.893812
0;0.287603;0.53254;0.90855
0;0.266721;0.554603;0.921507
0.023;0.243624;0.56034;0.916097
0.061;0.217528;0.560039;0.929213
0.139;0.253383;0.586516;0.953048
0.205;0.314445;0.660375;0.954072
0.183;0.307971;0.658076;0.958651
0.124;0.264379;0.662443;0.952016
0.049;0.239356;0.684341;0.953521
0.002;0.268859;0.686821;0.956562
0;0.282807;0.68278;0.960332
0;0.289896;0.680365;0.969321
0;0.316053;0.679789;0.973862
0;0.359429;0.682743;0.968303
0;0.390145;0.681293;0.941164
0;0.446184;0.666278;0.873804
0;0.448807;0.625368;0.796418
0;0.536084;0.56004;0.780877
0;0.51816;0.470857;0.826248
0;0.533783;0.414557;0.857461
0;0.406057;0.433552;0.886426
0;0.318963;0.461828;0.916756
0;0.257843;0.484265;0.937689
0;0.248617;0.515298;0.947642
0;0.253211;0.546173;0.941556
0.002;0.266706;0.605731;0.896279
0.07;0.262273;0.609941;0.809617
0.164;0.29882;0.590207;0.74527
0.127;0.351949;0.495891;0.73855
0.07;0.474279;0.419786;0.750767
0.031;0.511856;0.395942;0.751724
0.024;0.480082;0.35475;0.729448
0.022;0.37984;0.316699;0.731973
0.001;0.358395;0.30989;0.775133
0;0.403877;0.264025;0.831145
0;0.412789;0.243736;0.861287
0;0.391039;0.242267;0.849145
0;0.383228;0.264349;0.815124
0;0.36469;0.296778;0.811163
0;0.357021;0.29808;0.825788
0;0.314169;0.3467;0.814437
0;0.274109;0.344984;0.736829
0;0.222687;0.350048;0.564055
0;0.186683;0.29877;0.360738
0;0.151526;0.217668;0.22386
0;0.107205;0.139625;0.180944
0;0.06286;0.080347;0.24816
0;0.032508;0.091138;0.356127
0;0.019038;0.177683;0.398263
0.007;0.017655;0.257684;0.344935
0.119;0.01637;0.237506;0.253356
0.33;0.012973;0.177669;0.181479
0.456;0.009597;0.147803;0.145854
0.49;0.009491;0.143064;0.141136
0.446;0.011947;0.160889;0.150165
0.331;0.016066;0.141159;0.159735
0.144;0.023549;0.168962;0.168849
0.014;0.03002;0.204203;0.174121
0;0.042288;0.202004;0.180147
0;0.063921;0.179318;0.188025
0;0.091767;0.158209;0.192634
0;0.1194;0.144998;0.191142
0;0.141621;0.127993;0.181542
0;0.156701;0.121198;0.179507
0;0.162247;0.118811;0.190915
0;0.164433;0.115061;0.213736
0;0.166632;0.111423;0.238974
0;0.174591;0.112236;0.265564
0;0.186694;0.114816;0.288212
0;0.190905;0.110656;0.301456
0;0.192863;0.106185;0.316043
0;0.192918;0.103296;0.339368
0;0.186695;0.104346;0.368103
0.008;0.1706;0.105332;0.390208
0.089;0.118775;0.081339;0.395923
0.174;0.090054;0.050465;0.371782
0.255;0.130278;0.037455;0.332664
0.306;0.14724;0.050338;0.307485
0.31;0.141833;0.046386;0.276612
0.261;0.127483;0.046144;0.259819
0.146;0.127342;0.066102;0.266858
0.02;0.176292;0.100129;0.296745
0;0.232916;0.14393;0.326909
0;0.252934;0.185054;0.349037
0;0.246131;0.212175;0.35925
0;0.231227;0.218881;0.354772
0;0.215696;0.208159;0.337253
0;0.202021;0.188561;0.305375
0;0.184778;0.16495;0.261825
0;0.16355;0.142466;0.21321
0;0.143249;0.123816;0.171263
0;0.127958;0.109162;0.139703
0;0.116183;0.096698;0.114311
0;0.109039;0.086826;0.094254
0;0.105526;0.078928;0.078916
0;0.101244;0.072747;0.075706
0;0.095263;0.066001;0.081661
0.029;0.08438;0.057065;0.0904
0.236;0.052998;0.038962;0.09535
0.397;0.047095;0.028581;0.083158
0.488;0.042977;0.030343;0.068514
0.514;0.040856;0.027835;0.050363
0.481;0.040336;0.022931;0.034797
0.389;0.042556;0.020069;0.02479
0.23;0.050361;0.022558;0.024011
0.042;0.065946;0.025394;0.020967
0;0.082212;0.029516;0.020799
0;0.088378;0.034013;0.022918
0;0.085587;0.039443;0.029854
0;0.078871;0.047096;0.04674
0;0.070646;0.057955;0.078595
0;0.062324;0.070069;0.10531
0;0.055081;0.081922;0.135206
0;0.047375;0.090668;0.168818
0;0.038765;0.092696;0.204098
0;0.031141;0.091769;0.243315
0;0.026475;0.090794;0.288589
